Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Somebody Find Me Trouble,6sfkgLZYZPqmd3VBtAWqbT,0.739,0.591,0.531,1.18e-06,1.18e-06,-6.668,0.06,0.902,120.067,7
Iyawo Kokoro Mi Da,1pVw1mQLiUiZyfds7i5vG7,0.683,0.808,0.522,2.22e-05,2.22e-05,-6.598,0.0864,0.588,123.508,5
Money Hard,0YrG48ZDYQ8XDHgiaKDVs9,0.412,0.773,0.533,4.94e-06,4.94e-06,-5.153,0.0503,0.961,82.815,5
Oh My Baby Josephine,4F1hJsntQmjOHG0kEOkyBG,0.695,0.802,0.47,0.0,0.0,-6.987,0.122,0.875,86.682,15
Obiriko Aye N Yilo,4KQ5vTPl7hTu2fyVcO95XS,0.254,0.554,0.755,0.00529,0.00529,-6.596,0.0646,0.849,110.33,8
Asewo Ajegunle Yakare,6LtLHQBDbFBwaB25lXj5xz,0.622,0.657,0.732,0.00837,0.00837,-5.207,0.121,0.866,127.7,4
Oro Aiye,0o6i54dU5u9NSfLHeZz7Vb,0.714,0.615,0.521,0.00249,0.00249,-7.082,0.0995,0.888,134.919,5
Koto Ye O,2yROmGGKNrdv6BdFgkojF3,0.701,0.597,0.535,0.00263,0.00263,-7.489,0.286,0.746,124.443,4
Buroda Mase,0bnZpVzIxhvZLWl3GOImIp,0.721,0.763,0.601,0.0004,0.0004,-8.842,0.294,0.74,89.359,6
Kilode,3MwtwIfPxjvKD3MaYfJWey,0.743,0.823,0.55,0.239,0.239,-10.993,0.0509,0.935,99.688,4
Mimo Mimo Loluwo,5isDoQTlwlSfCAX0ivjylq,0.764,0.707,0.617,0.219,0.219,-6.823,0.0477,0.781,126.676,3
Ezuku Buzo,2PY81jhPetXiiJYT5fHu54,0.672,0.723,0.56,0.0,0.0,-8.293,0.507,0.911,115.116,14
Hot Pants,29TpC4dI1y1cZUQoVUSmg1,0.876,0.856,0.5,0.00486,0.00486,-7.342,0.161,0.806,96.496,4
Mele Latori,4QNEITEvo0FhlGtFERLHha,0.857,0.759,0.506,0.138,0.138,-9.574,0.0519,0.928,125.074,2
Lagos Sisi,6yM82PxMywRHehdoQgQT8p,0.147,0.718,0.626,0.00207,0.00207,-9.049,0.0604,0.662,107.288,35
Oyinmomo,3ldCa67CgrPPYWbuxHHHlw,0.605,0.547,0.396,1.42e-06,1.42e-06,-10.527,0.0819,0.866,138.016,4
Lagos Special,74p0O4r8TZV0NOWfl0Eont,0.644,0.806,0.53,0.00104,0.00104,-10.991,0.0505,0.906,113.231,4
Never (Part 1),0PQC0Gg2lMaJGLVCUsKKl4,0.557,0.829,0.502,0.0126,0.0126,-9.834,0.115,0.868,98.942,4
Edumare Soro,2e5R8dDtYkji0xp6s5ju0K,0.476,0.619,0.578,0.00181,0.00181,-8.745,0.0507,0.727,113.218,3
Pappa Rebecca Special 1 (She's A Woman),5m6iuPoiV0ZW6lEnzfvpzW,0.483,0.63,0.623,0.0957,0.0957,-8.568,0.0836,0.816,137.132,3
One More Time,0DiWol3AO6WpXZgp0goxAV,0.0193,0.611,0.697,0.0,0.0,-8.618,0.133,0.476,122.752,75
Aerodynamic,3H3cOQ6LBLSvmcaV7QkZEu,0.328,0.624,0.911,0.861,0.861,-7.482,0.0524,0.135,122.902,59
Digital Love,2VEZx7NWsZ1D0eJ4uv5Fym,0.0481,0.644,0.664,0.862,0.862,-8.398,0.0333,0.53,124.726,64
Crescendolls,6vuPZX9fWESg5js2JFTQRJ,0.0035,0.696,0.75,0.922,0.922,-8.503,0.0721,0.937,124.048,54
Nightvision,63JXZZRbmzooashakb0zbu,0.845,0.491,0.186,0.916,0.916,-29.512,0.0321,0.457,119.881,52
Superheroes,186hvCTyrni4KT9nwIQ7zS,0.00405,0.619,0.739,0.00346,0.00346,-8.204,0.0792,0.675,140.875,53
High Life,098ttCNmncrO4YvqWUNMvn,0.00445,0.653,0.869,0.398,0.398,-9.393,0.216,0.515,125.202,52
Something About Us,1NeLwFETswx8Fzxl2AFl91,0.44,0.875,0.475,0.72,0.72,-12.673,0.0986,0.384,99.958,69
Voyager,7cMFjxhbXBpOlais7KMF3j,0.282,0.669,0.743,0.803,0.803,-11.488,0.0494,0.279,119.882,61
Veridis Quo,2LD2gT7gwAurzdQDQtILds,0.479,0.604,0.687,0.95,0.95,-13.928,0.045,0.119,106.896,63
Short Circuit,4npMbTuxrUA3Wd7edACZ2L,0.00461,0.535,0.558,0.824,0.824,-10.756,0.0741,0.215,109.69,50
Face to Face,7v9Q0dAb9t7h8gJOkcJHay,0.00135,0.874,0.437,0.0296,0.0296,-10.234,0.0706,0.963,117.79,60
